facility_code,facility_name,network_id,region,latitude,longitude,facility_name_clean_key
SMTHBES1,Smithfield,NEM,NSW1,-33.849972,150.947448,smithfield
SNAPPER,Snapper Point,NEM,SA1,-34.764433,138.508149,snapper point
SNOWTOWN,Snowtown,NEM,SA1,-33.691598,138.166022,snowtown
SNOWNTH,Snowtown North,NEM,SA1,-33.756479,138.143043,snowtown north
SNOWSTH,Snowtown South,NEM,SA1,-33.862624,138.130367,snowtown south
SNOWY20,Snowy 2.0,NEM,NSW1,-35.745207,148.653852,snowy 2 0
SNUG,Snuggery,NEM,SA1,-37.664996,140.414686,snuggery
AGLSOM,Somerton,NEM,VIC1,-37.631692,144.952802,somerton
SKSF,South Keswick,NEM,NSW1,-32.272801,148.659285,south keswick
STHBKTEC,Southbank Institute Of Technology,NEM,QLD1,-27.480589,153.020999,southbank institute of technology
SVALE,Springvale,NEM,VIC1,-37.973375,145.139695,springvale
STGEORGE,St George Leagues Club,NEM,NSW1,-33.974819,151.129354,st george leagues club
SLDCBLK,St Leonards Data Centre,NEM,TAS1,-41.440151,147.174429,st leonards data centre
STANBESS,Stanwell,NEM,QLD1,-23.513568,150.31811,stanwell
STANWELL,Stanwell,NEM,QLD1,-23.507452,150.313355,stanwell
STAPYLTON,Stapylton,NEM,QLD1,-27.736111,153.245931,stapylton
STARFHILL,Starfish Hill,NEM,SA1,-35.578983,138.139653,starfish hill
STOCKYD,Stockyard Hill,NEM,VIC1,-37.53568,143.252548,stockyard hill
STUBSF,Stubbo,NEM,NSW1,-32.26254,149.589068,stubbo
SUMMFBESS,Summerfield,NEM,SA1,-34.9538,139.21502,summerfield
SMCSF,Sun Metals,NEM,QLD1,-19.332335,146.875929,sun metals
SUNRSF1,Sunraysia,NEM,NSW1,-34.804891,143.491185,sunraysia
VALDORA,Sunshine Coast,NEM,QLD1,-26.560094,153.02574,sunshine coast
SUNTPSF,Suntop,NEM,NSW1,-32.583514,148.826931,suntop
SNB1,Supernode,NEM,QLD1,-27.458521,153.111745,supernode
SUPERNODE2,Supernode 2,NEM,QLD1,-27.449227,153.112538,supernode 2
SNB3,Supernode 3,NEM,QLD1,-27.447731,153.113869,supernode 3
SRSF,Susan River,NEM,QLD1,-25.419331,152.741687,susan river
SWANBBF,Swanbank,NEM,QLD1,-27.65619,152.817139,swanbank
SWAN_B,Swanbank B,NEM,QLD1,-27.655286,152.818644,swanbank b
SWAN_E,Swanbank E,NEM,QLD1,-27.655138,152.817933,swanbank e
TABMILL2,Tableland Mill,NEM,QLD1,-17.119813,145.34513,tableland mill
TAHMOOR,Tahmoor,NEM,NSW1,-34.249117,150.577718,tahmoor
TBSF,Tailem Bend,NEM,SA1,-35.271346,139.488379,tailem bend
TB2SF,Tailem Bend 2,NEM,SA1,-35.28,139.49,tailem bend 2
TBBESS3,Tailem Bend 3,NEM,SA1,-35.271112,139.487793,tailem bend 3
TALLAWAR,Tallawarra,NEM,NSW1,-34.522808,150.807237,tallawarra
TALWB,Tallawarra B,NEM,NSW1,-34.522808,150.807237,tallawarra b
TVCCPS,Tamar Valley,NEM,TAS1,-41.140348,146.904872,tamar valley
TARALGA,Taralga,NEM,NSW1,-34.431428,149.865258,taralga
TARBESS,Tarong,NEM,QLD1,-26.780561,151.910086,tarong
TARONG,Tarong,NEM,QLD1,-26.784086,151.914537,tarong
TARONGN,Tarong North,NEM,QLD1,-26.774391,151.914007,tarong north
TARRALEA,Tarraleah,NEM,TAS1,-42.301224,146.457294,tarraleah
TATIARA,Tataria,NEM,SA1,-36.326977,140.737035,tataria
TATURA,Tatura,NEM,VIC1,-36.47915,145.235037,tatura
TEMPB,Templers,NEM,SA1,-34.46293,138.764848,templers
SATGN,Temporary Generation North,NEM,SA1,-34.719707,138.668425,temporary generation north
SATGS,Temporary Generation South,NEM,SA1,-35.096799,138.483997,temporary generation south
TERALBA,Teralba,NEM,NSW1,-32.945557,151.612042,teralba
TERANGBESS,Terang,NEM,VIC1,-38.231839,142.933262,terang
TERMSTOR,Terminal,NEM,SA1,-34.84014,138.712137,terminal
BLUFF,The Bluff,NEM,SA1,-33.367741,138.79379,the bluff
THEDROP,The Drop,NEM,NSW1,-35.973527,145.999274,the drop
TILBSF,Tilbuster,NEM,NSW1,-30.382963,151.658909,tilbuster
TIMWEST,Timboon West,NEM,VIC1,-38.528351,142.916231,timboon west
TOMAGOBESS,Tomago,NEM,NSW1,-32.814277,151.706523,tomago
TOORAWF,Toora,NEM,VIC1,-38.653258,146.340154,toora
TIB,Torrens Island,NEM,SA1,-34.802305,138.520262,torrens island
TORRIS,Torrens Island,NEM,SA1,-34.80651,138.523127,torrens island
TOWER,Tower,NEM,NSW1,-34.219461,150.718012,tower
YABULU,Townsville,NEM,QLD1,-19.20127,146.618573,townsville
TGNSS,Traralgon Network Support,NEM,VIC1,-37.833513,144.965955,traralgon network support
TREVALLN,Trevallyn,NEM,TAS1,-41.42262,147.111785,trevallyn
TRIBUTE,Tribute,NEM,TAS1,-41.815832,145.650178,tribute
TULLYSM,Tully Sugar Mill,NEM,QLD1,-17.937329,145.92739,tully sugar mill
SNOWY2,Tumut,NEM,NSW1,-35.952003,148.367255,tumut
TUMUT3,Tumut 3,NEM,NSW1,-35.611138,148.29175,tumut 3
TUNGATIN,Tungatinah,NEM,TAS1,-42.296802,146.456568,tungatinah
ULBESS,Ulinda Park,NEM,QLD1,-26.92635,150.717472,ulinda park
URANQ,Uranquinty,NEM,NSW1,-35.180061,147.21567,uranquinty
UUNGULAWF,Uungula,NEM,NSW1,-32.551969,149.161325,uungula
VP,Vales Point B,NEM,NSW1,-33.16078,151.543985,vales point b
VPGS,Valley Power Peaking,NEM,VIC1,-38.253709,146.588886,valley power peaking
TITREE,Veolia Ti Tree,NEM,QLD1,-27.695551,152.650313,veolia ti tree
VICMILL,Victoria Mill,NEM,QLD1,-18.650208,146.200866,victoria mill
VBB,Victorian Big Battery,NEM,VIC1,-38.038278,144.290383,victorian big battery
WAGGNSF,Wagga North,NEM,NSW1,-35.070575,147.438807,wagga north
WLWLSF,Walla Walla,NEM,NSW1,-35.747397,146.96666,walla walla
WW,Wallerawang,NEM,NSW1,-33.403889,150.084444,wallerawang
WALGRV,Wallgrove,NEM,NSW1,-33.813917,150.830827,wallgrove
PRDSO_WALPOLE,Walpole,NEM,WEM,-34.988023,116.722925,walpole
WAMBOWF,Wambo,NEM,QLD1,-26.603045,151.246876,wambo
WANDSF,Wandoan,NEM,QLD1,-26.248848,149.765988,wandoan
WANDBG,Wandoan South,NEM,QLD1,-26.261526,149.765738,wandoan south
WNSF,Wangaratta,NEM,VIC1,-36.326757,146.359901,wangaratta
WTAHB,Waratah Super Battery,NEM,NSW1,-33.209781,151.544911,waratah super battery
WG,Warragamba,NEM,NSW1,-33.882862,150.596954,warragamba
WARWSF,Warwick,NEM,QLD1,-28.183037,152.071764,warwick
WATERLWF,Waterloo,NEM,SA1,-34.001298,138.91088,waterloo
WPWF,Wattle Point,NEM,SA1,-35.110379,137.705789,wattle point
WAUBRAWF,Waubra,NEM,VIC1,-37.357446,143.603659,waubra
WELLSF1,Wellington,NEM,NSW1,-32.5207,148.9675,wellington
WELNSF,Wellington North,NEM,NSW1,-32.514353,148.957634,wellington north
WEMENSF1,Wemen,NEM,VIC1,-34.799853,142.547621,wemen
WESTILLA,West Illawarra Leagues Club,NEM,NSW1,-34.451645,150.843037,west illawarra leagues club
WKIEWA,West Kiewa,NEM,VIC1,-36.759974,147.185812,west kiewa
AGLNOW1,West Nowra,NEM,NSW1,-34.882318,150.551075,west nowra
WSTWYSF,West Wyalong,NEM,NSW1,-33.809655,147.325015,west wyalong
WDBESS,Western Downs,NEM,QLD1,-26.952278,150.690528,western downs
WDGPH,Western Downs,NEM,QLD1,-26.955534,150.67862,western downs
WDBESS2,Western Downs 2,NEM,QLD1,-26.951989,150.694141,western downs 2
WDBESS3,Western Downs 3,NEM,QLD1,-26.952008,150.694188,western downs 3
WESTCBT,Western Suburbs League Club,NEM,NSW1,-34.051073,150.832757,western suburbs league club
WRSF1,White Rock Solar Farm,NEM,NSW1,-29.764429,151.553007,white rock solar farm
WRWF1,White Rock Wind Farm,NEM,NSW1,-29.7718,151.5755,white rock wind farm
WHITSF,Whitsunday,NEM,QLD1,-20.492712,147.756358,whitsunday
WHIT1,Whitwood Road,NEM,QLD1,-27.620454,152.824409,whitwood road
WILGAPK,Wilga Park,NEM,NSW1,-30.363284,149.677422,wilga park
WILGAPKB,Wilga Park B,NEM,NSW1,-30.363284,149.677422,wilga park b
WILLHOV,William Hovel,NEM,VIC1,-36.925216,146.389418,william hovel
0WDBESS,Williamsdale,NEM,NSW1,-35.57458,149.131993,williamsdale
WGWF,Willogoleche,NEM,SA1,-33.413128,138.845663,willogoleche
NINEWIL,Willoughby,NEM,NSW1,-33.810858,151.196599,willoughby
WINDHILL,Windy Hill,NEM,QLD1,-17.590399,145.52968,windy hill
WINGF1,Wingfield,NEM,SA1,-34.835138,138.548949,wingfield
WINGF2,Wingfield 2,NEM,SA1,-34.835138,138.548949,wingfield 2
WINTSF1,Winton,NEM,VIC1,-36.503538,146.124102,winton
0WNSF,Winton North,NEM,VIC1,-36.499717,146.114153,winton north
WIVENHOE,Wivenhoe,NEM,QLD1,-27.372417,152.63203,wivenhoe
WIVENSH,Wivenhoe,NEM,QLD1,-27.394592,152.609237,wivenhoe
WOLARSF,Wollar,NEM,NSW1,-32.407631,149.940737,wollar
WOLLERT,Wollert,NEM,VIC1,-37.591792,145.043033,wollert
WONWP,Wonthaggi,NEM,VIC1,-38.60513,145.546292,wonthaggi
WDLNGN,Woodlawn,NEM,NSW1,-35.05928,149.5749,woodlawn
WOODLWN,Woodlawn,NEM,NSW1,-35.081675,149.570511,woodlawn
WOOLNTH1,Woolnorth,NEM,TAS1,-40.786606,144.738536,woolnorth
WOOLGSF,Woolooga,NEM,QLD1,-26.075843,152.437448,woolooga
WOORBESS,Wooreen,NEM,VIC1,-38.27376,146.427729,wooreen
WOYWOY,Woy Woy,NEM,NSW1,-33.506914,151.291606,woy woy
WUNUSF,Wunghnu,NEM,VIC1,-36.164387,145.403731,wunghnu
WYASF,Wyalong,NEM,NSW1,-33.887269,147.315314,wyalong
WYANGALA,Wyangala A,NEM,NSW1,-33.968824,148.948823,wyangala a
WYANGALB,Wyangala B,NEM,NSW1,-33.968824,148.948823,wyangala b
WYNDW,Wyndham,NEM,VIC1,-37.935372,144.5898,wyndham
YALLOURN,Yallourn W,NEM,VIC1,-38.177589,146.342556,yallourn w
YSWF,Yaloak South,NEM,VIC1,-37.716474,144.241947,yaloak south
YAMBUK,Yambuk,NEM,VIC1,-38.305278,142.018439,yambuk
YARANSF,Yarranlea,NEM,QLD1,-27.709261,151.533038,yarranlea
YWNGAHYD,Yarrawonga,NEM,VIC1,-36.009466,145.999568,yarrawonga
YARWUN,Yarwun,NEM,QLD1,-23.8309,151.151136,yarwun
YATSF1,Yatpool,NEM,VIC1,-34.396363,142.173809,yatpool
YAWWF,Yawong,NEM,VIC1,-36.471022,143.361722,yawong
YENDONWF,Yendon,NEM,VIC1,-37.630407,144.023136,yendon
