dataset_id,reporting_year,source_system,reporting_entity,number_of_facilities,number_of_states,facilities_in_ACT,facilities_in_NSW,facilities_in_NT,facilities_in_QLD,facilities_in_SA,facilities_in_TAS,facilities_in_VIC,facilities_in_WA,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,scope1_imputed,scope2_imputed,total_imputed,intensity_imputed
ID0083,2022,NGER,ATCO AUSTRALIA PTY LTD,2,2,0,0,0,0,1,0,0,1,1953826.0,542730.0,259035.0,2539.0,261574,0.48195972214544985,False,False,False,False
ID0083,2022,NGER,ATMOS QUEENSLAND SOLAR PTY LTD,2,1,0,0,0,2,0,0,0,0,906709.0,251864.0,42.0,637.0,679,0.0026958993742654765,False,False,False,False
ID0083,2022,NGER,ATMOS TOPCO PTY LTD,2,2,0,1,0,0,0,0,1,0,1321480.0,367078.0,77.0,762.0,839,0.002285617770610061,False,False,False,False
ID0083,2022,NGER,AWF AUS HOLD OP CO PTY LTD,1,1,0,0,0,0,0,0,1,0,1575716.0,437699.0,101.0,859.0,960,0.0021932880815354844,False,False,False,False
ID0083,2022,NGER,BALD HILLS WF HOLDINGS PTY LTD,1,1,0,0,0,0,0,0,1,0,1241976.0,344993.0,83.0,646.0,729,0.0021130863524767168,False,False,False,False
ID0083,2022,NGER,BANPU AUSTRALIA CO. PTY LTD,2,1,0,2,0,0,0,0,0,0,809364.0,224823.0,48.0,761.0,809,0.0035983862861006214,False,False,False,False
ID0083,2022,NGER,BEI WWF PTY LTD,1,1,0,0,0,0,0,0,0,1,2097367.0,582602.0,180.0,485.0,665,0.0011414310283864456,False,False,False,False
ID0083,2022,NGER,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,3,1,0,3,0,0,0,0,0,0,3171103.0,880862.0,83.0,1400.0,1483,0.001683578131421267,False,False,False,False
ID0083,2022,NGER,BHP GROUP LIMITED,1,1,0,0,0,0,0,0,0,1,2815536.0,782093.0,336179.0,0.0,336179,0.42984529972778174,False,False,False,False
ID0083,2022,NGER,BLUEWATERS POWER 1 PTY LTD,1,1,0,0,0,0,0,0,0,1,3608412.0,1002337.0,707580.0,6090.0,713670,0.7120060418801262,False,False,False,False
ID0083,2022,NGER,BLUEWATERS POWER 2 PTY LTD,1,1,0,0,0,0,0,0,0,1,4950249.0,1375069.0,964833.0,736.0,965569,0.7021967624897368,False,False,False,False
ID0083,2022,NGER,C S ENERGY LIMITED,3,1,0,0,0,3,0,0,0,0,35043504.0,9734307.0,8727629.0,29891.0,8757520,0.8996552091484273,False,False,False,False
ID0083,2022,NGER,CAPE BYRON MANAGEMENT PTY LTD,2,1,0,2,0,0,0,0,0,0,990858.0,275238.0,8896.0,4686.0,13582,0.04934638385688023,False,False,False,False
ID0083,2022,NGER,CBWF HOLDINGS PTY LIMITED,1,1,0,0,0,0,0,0,1,0,264034.0,73343.0,26.0,73.0,99,0.0013498220689090984,False,False,False,False
ID0083,2022,NGER,CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,1,1,0,1,0,0,0,0,0,0,1781185.0,494774.0,61.0,410.0,471,0.0009519497790910598,False,False,False,False
ID0083,2022,NGER,CHERRY TREE HOLD CO PTY LTD,1,1,0,0,0,0,0,0,1,0,610489.0,169580.0,49.0,301.0,350,0.0020639226323858947,False,False,False,False
ID0083,2022,NGER,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,46,6,0,11,3,8,3,0,7,14,9281624.0,2578228.0,1305249.0,488.0,1305737,0.5064474515054526,False,False,False,False
ID0083,2022,NGER,CLARE SOLAR FARM HOLDINGS PTY LTD,1,1,0,0,0,1,0,0,0,0,654568.0,181824.0,114.0,90.0,204,0.0011219640971488912,False,False,False,False
ID0083,2022,NGER,CLEANCO QUEENSLAND LIMITED,4,1,0,0,0,4,0,0,0,0,7486072.0,2079464.0,337714.0,523192.0,860906,0.4140038009794832,False,False,False,False
ID0083,2022,NGER,CWF HOLDINGS PTY LTD,1,1,0,0,0,0,0,0,0,1,2411682.0,669912.0,163.0,1077.0,1240,0.0018509893836802446,False,False,False,False
ID0083,2022,NGER,DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,1,1,1,0,0,0,0,0,0,0,116935.0,32482.0,0.0,159.0,159,0.004895018779631796,False,False,False,False
ID0083,2022,NGER,DUNDONNELL WIND FARM PTY LTD,1,1,0,0,0,0,0,0,1,0,3695260.0,1026461.0,227.0,1531.0,1758,0.001712680754553753,False,False,False,False
ID0083,2022,NGER,EDIFY GROUP HOLDINGS PTY LTD,6,4,0,1,1,2,0,0,2,0,4154064.0,1153907.0,388.0,2430.0,2818,0.0024421378845955522,False,False,False,False
ID0083,2022,NGER,ELECTRICITY GENERATION AND RETAIL CORPORATION,14,1,0,0,0,0,0,0,0,14,25086136.0,6968371.0,5359592.0,2847.0,5362439,0.7695398250179274,False,False,False,False
ID0083,2022,NGER,ELECTRICITY NETWORKS CORPORATION,1,1,0,0,0,0,0,0,0,1,1524.0,423.0,331.0,0.0,331,0.7825059101654847,False,False,False,False
ID0083,2022,NGER,ENEL GREEN POWER AUSTRALIA PTY LTD,3,2,0,0,0,0,2,0,1,0,1821607.0,506002.0,0.0,0.0,0,0.0,False,False,False,False
ID0083,2022,NGER,ENERGY QUEENSLAND LIMITED,41,2,0,0,0,40,0,0,1,0,567395.0,157609.0,95561.0,674.0,96235,0.6105933036818963,False,False,False,False
ID0083,2022,NGER,ENERGYAUSTRALIA HOLDINGS LIMITED,8,3,0,2,0,0,1,0,5,0,59397035.0,16499177.0,17383708.0,181652.0,17565360,1.0646203747011138,False,False,False,False
ID0083,2022,NGER,ESSENTIAL ENERGY,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,False,False,False,False
ID0083,2022,NGER,EWP AUSTRALIA PTY LTD,1,1,0,0,0,1,0,0,0,0,769495.0,213748.0,67.0,1972.0,2039,0.009539270542882273,False,False,False,False
ID0083,2022,NGER,FENGATE EXMOUTH ENERGY SPV PTY LTD,1,1,0,0,0,0,0,0,0,1,91596.0,25443.0,17643.0,0.0,17643,0.693432378257281,False,False,False,False
ID0083,2022,NGER,FINLEY SOLAR HOLDINGS PTY LTD,1,1,0,1,0,0,0,0,0,0,1033401.0,287056.0,0.0,897.0,897,0.003124825817958865,False,False,False,False
ID0083,2022,NGER,FORTESCUE METALS GROUP LTD,2,1,0,0,0,0,0,0,0,2,1194901.0,331917.0,214364.0,0.0,214364,0.6458361578346394,False,False,False,False
ID0083,2022,NGER,FS OAKEY 2 PTY LTD,1,1,0,0,0,1,0,0,0,0,392233.0,108954.0,0.0,0.0,0,0.0,False,False,False,False
ID0083,2022,NGER,GENEX POWER LIMITED,2,2,0,1,0,1,0,0,0,0,802894.0,223026.0,0.0,1637.0,1637,0.007339951395801386,False,False,False,False
ID0083,2022,NGER,GENTARI RENEWABLES AUSTRALIA PTY LTD,2,2,0,0,0,1,0,0,1,0,1152329.0,320091.0,380.0,4942.0,5322,0.01662652183285378,False,False,False,False
ID0083,2022,NGER,GENUITY PTY LTD,2,1,0,0,0,2,0,0,0,0,25279244.0,7022012.0,5931404.0,12937.0,5944341,0.8465295986392504,False,False,False,False
ID0083,2022,NGER,GLENCORE HOLDINGS PTY LIMITED,1,1,0,0,0,1,0,0,0,0,538113.0,149476.0,49174.0,0.0,49174,0.32897588910594344,False,False,False,False
ID0083,2022,NGER,GLOBAL POWER GENERATION AUSTRALIA PTY LTD,7,4,1,2,0,0,0,0,3,1,3355860.0,932183.0,5142.0,2586.0,7728,0.008290217693307001,False,False,False,False
ID0083,2022,NGER,GOLDFIELDS POWER PTY LTD,1,1,0,0,0,0,0,0,0,1,271994.0,75554.0,43918.0,0.0,43918,0.5812796145803002,False,False,False,False
ID0083,2022,NGER,GOONUMBLA HOLDINGS CO PTY. LTD.,1,1,0,1,0,0,0,0,0,0,422450.0,117347.0,16.0,381.0,397,0.0033831286696719984,False,False,False,False
ID0083,2022,NGER,GRAND BARGAIN HOLDCO PTY LTD,5,2,0,4,0,1,0,0,0,0,7260020.0,2016673.0,7732.0,3394.0,11126,0.005517007467249277,False,False,False,False
ID0083,2022,NGER,HUGHENDEN SOLAR FARM HOLDCO PTY LTD,1,1,0,0,0,1,0,0,0,0,122821.0,34117.0,0.0,442.0,442,0.012955418119998828,False,False,False,False
ID0083,2022,NGER,HYDRO POWER PTY. LIMITED,2,1,0,2,0,0,0,0,0,0,300715.0,83532.0,0.0,0.0,0,0.0,False,False,False,False
ID0083,2022,NGER,HYDRO-ELECTRIC CORPORATION,31,1,0,0,0,0,0,31,0,0,30461099.0,8461417.0,59040.0,9746.0,68786,0.008129371238883512,False,False,False,False
ID0083,2022,NGER,IBERDROLA AUSTRALIA LIMITED,9,3,0,4,0,0,4,0,0,1,8518729.0,2366314.0,33530.0,4853.0,38383,0.016220586109873838,False,False,False,False
ID0083,2022,NGER,INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,6,1,0,0,0,0,6,0,0,0,6885615.0,1912671.0,770306.0,3768.0,774074,0.4047083894721047,False,False,False,False
ID0083,2022,NGER,KARADOC SOLAR FARM HOLDCO PTY LTD,1,1,0,0,0,0,0,0,1,0,655226.0,182007.0,0.0,384.0,384,0.002109808963391518,False,False,False,False
ID0083,2022,NGER,KENNEDY ENERGY PARK HOLDINGS PTY LTD,1,1,0,0,0,1,0,0,0,0,557982.0,154995.0,54.0,84.0,138,0.0008903513016548921,False,False,False,False
ID0083,2022,NGER,KIAMCO FORESIGHT HANWHA BARCALDINE 1 PTY LTD,1,1,0,0,0,1,0,0,0,0,117558.0,32655.0,0.0,0.0,0,0.0,False,False,False,False
ID0083,2022,NGER,KIAMCO HANWHA FORESIGHT BANNERTON PTY LTD,1,1,0,0,0,0,0,0,1,0,536761.0,149100.0,0.0,0.0,0,0.0,False,False,False,False
ID0083,2022,NGER,LAL LAL WIND FARMS NOM CO PTY LIMITED,1,1,0,0,0,0,0,0,1,0,1958312.0,543976.0,136.0,1905.0,2041,0.00375200376487198,False,False,False,False
ID0083,2022,NGER,LGI LIMITED,7,2,1,0,0,6,0,0,0,0,338852.0,94126.0,9708.0,22.0,9730,0.10337207572827911,False,False,False,False
ID0083,2022,NGER,LIGHTHOUSE INFRASTRUCTURE MANAGEMENT LIMITED,1,1,0,0,0,1,0,0,0,0,484318.0,134533.0,24.0,1103.0,1127,0.008377126801602582,False,False,False,False
ID0083,2022,NGER,LILYVALE HOLDINGS CO PTY. LTD.,1,1,0,0,0,1,0,0,0,0,668245.0,185624.0,53.0,585.0,638,0.003437055553161229,False,False,False,False
ID0083,2022,NGER,LINCOLN GAP OPERATIONS PTY LTD,1,1,0,0,0,0,1,0,0,0,2634306.0,731752.0,42.0,4207.0,4249,0.005806612076222546,False,False,False,False
ID0083,2022,NGER,LMS ENERGY PTY LTD,36,7,0,8,1,7,5,4,8,3,1936982.0,538050.0,39155.0,93.0,39248,0.07294489359724933,False,False,False,False
ID0083,2022,NGER,LS AUSTRALIA HOLDCO1 PTY LTD,1,1,0,1,0,0,0,0,0,0,1278190.0,355053.0,100.0,1129.0,1229,0.003461455050372761,False,False,False,False
