source_system,state,year,facility_name,facility_name_clean,fuel_group,primary_fuel,latitude,longitude,geocode_status,project_status,mw_capacity,reporting_year,abs_joined,label,geocode_query,display_name,reporting_entity,facility_type,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,grid_connected,grid,scope1_imputed,scope2_imputed,total_imputed,intensity_imputed,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,reference_date,reference_year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)",Internal arrivals (no.),Internal departures (no.),Net internal migration (no.),Overseas arrivals (no.),Overseas departures (no.),Net overseas migration (no.),Aboriginal and Torres Strait Islander Peoples (no.),Aboriginal and Torres Strait Islander Peoples (%),Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (no.),Total born overseas (%),Buddhism (%),Christianity (%),Hinduism (%),Islam (%),Judaism (%),Other religions (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Religious affiliation inadequately described or not stated (%),Australian citizen (no.),Not an Australian citizen (no.),Australian citizenship not stated (no.),Australian citizen (%),Not an Australian citizen (%),Australian citizenship not stated (%),Speaks a language other than English at home (no.),Speaks a language other than English at home (%),Currently serving in the Australian Defence Force (no.),Previously served in the Australian Defence Force (no.),Currently serving in the Australian Defence Force (%),Previously served in the Australian Defence Force (%)
NGER,NSW,2014,Belrose and Grange Avenue LFG Power Stations,belrose and grange avenue lfg power stations,BIOENERGY,Landfill Gas,-33.72828990000001,151.2179132,ok,,,2014,True,New South Wales,"Belrose and Grange Avenue LFG Power Stations, landfill gas power station, electricity generation facility, New South Wales, Australia","Belrose NSW 2085, Australia",ENERGY DEVELOPMENTS LIMITED,FA,46595.0,12943.0,815.0,6.0,821,0.063431970949548,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Blackmores,blackmores,GAS,Gas,-31.2532183,146.921099,low_precision,,,2014,True,New South Wales,"Blackmores, gas-fired power station, electricity generation facility, New South Wales, Australia","New South Wales, Australia",ORIGIN ENERGY LIMITED,F,4190.0,1164.0,807.0,50.0,857,0.7362542955326461,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Blayney Wind Farm,blayney wind farm,WIND,Wind,-33.619909,149.1888872,ok,,,2014,True,New South Wales,"Blayney Wind Farm, electricity generation facility, New South Wales, Australia","Carcoar NSW 2791, Australia",GSP ENERGY PTY LTD,F,72296.0,20082.0,0.0,49.0,49,0.002439996016333,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Boco Rock Wind Farm Pty Ltd,boco rock wind farm pty ltd,WIND,Wind,-31.2532183,146.921099,low_precision,,,2014,True,New South Wales,"Boco Rock Wind Farm Pty Ltd, electricity generation facility, New South Wales, Australia","New South Wales, Australia",CWP RENEWABLES PTY LTD,F,751603.0,208779.0,55.0,720.0,775,0.0037120591630384,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Bond,bond,GAS,Gas,-31.2532183,146.921099,low_precision,,,2014,True,New South Wales,"Bond, gas-fired power station, electricity generation facility, New South Wales, Australia","New South Wales, Australia",ORIGIN ENERGY LIMITED,F,4349.0,1208.0,668.0,52.0,720,0.5960264900662252,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Broadwater Power Plant,broadwater power plant,BIOENERGY,Bagasse,-29.0145838,153.4300366,ok,,,2014,True,New South Wales,"Broadwater Power Plant, bagasse-fired power station, electricity generation facility, New South Wales, Australia","Broadwater NSW 2472, Australia",CAPE BYRON MANAGEMENT PTY LTD,F,643940.0,178872.0,6032.0,1423.0,7455,0.0416778478465047,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Brookfield District Energy (GX) Pty Ltd,brookfield district energy gx pty ltd,GAS,Gas,-31.2532183,146.921099,low_precision,,,2014,True,New South Wales,"Brookfield District Energy (GX) Pty Ltd, gas-fired power station, electricity generation facility, New South Wales, Australia","New South Wales, Australia",BPIH PTY LIMITED,F,78204.0,21723.0,11861.0,22049.0,33910,1.5610182755604658,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Brown Mountain Power Station,brown mountain power station,HYDRO,Hydro,-36.6098991,149.4800741,ok,,,2014,True,New South Wales,"Brown Mountain Power Station, hydroelectric power station, electricity generation facility, New South Wales, Australia","Snowy Mountains Hwy, Bemboka NSW 2550, Australia",DELTA ELECTRICITY,F,48431.0,13453.0,6.0,0.0,6,0.0004459971753512,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Burrendong Hydro,burrendong hydro,HYDRO,Hydro,-32.6801776,149.1386215,ok,,,2014,True,New South Wales,"Burrendong Hydro, hydroelectric power station, electricity generation facility, New South Wales, Australia","Lake Burrendong, New South Wales, Australia",AGL ENERGY LIMITED,F,27428.0,7619.0,1.0,97.0,98,0.0128625803911274,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Burrinjuck Power Station,burrinjuck power station,HYDRO,Hydro,-35.0012722,148.5828538,ok,,,2014,True,New South Wales,"Burrinjuck Power Station, hydroelectric power station, electricity generation facility, New South Wales, Australia","Burrinjuck NSW 2582, Australia",GSP ENERGY PTY LTD,F,305092.0,84748.0,0.0,105.0,105,0.0012389672912635,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
